Title,Sex,Age,AgeGroup,Fare,FareBand,Pclass,SibSp,Parch,Survived,Embarked_C,Embarked_Q,Embarked_S,FamilySize
Mr,0,22.0,YoungAdult,7.25,Low,Lower,1,0,0,False,False,True,2
Mrs,1,38.0,Adult,71.2833,Very High,Upper,1,0,1,True,False,False,2
Miss,1,26.0,YoungAdult,7.925,Mid,Lower,0,0,1,False,False,True,1
Mrs,1,35.0,YoungAdult,53.1,Very High,Upper,1,0,1,False,False,True,2
Mr,0,35.0,YoungAdult,8.05,Mid,Lower,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,8.4583,Mid,Lower,0,0,0,False,True,False,1
Mr,0,54.0,Adult,51.8625,Very High,Upper,0,0,0,False,False,True,1
Master,0,2.0,Child,21.075,High,Lower,3,1,0,False,False,True,5
Mrs,1,27.0,YoungAdult,11.1333,Mid,Lower,0,2,1,False,False,True,3
Mrs,1,14.0,Teen,30.0708,High,Middle,1,0,1,True,False,False,2
Miss,1,4.0,Child,16.7,High,Lower,1,1,1,False,False,True,3
Miss,1,58.0,Adult,26.55,High,Upper,0,0,1,False,False,True,1
Mr,0,20.0,YoungAdult,8.05,Mid,Lower,0,0,0,False,False,True,1
Mr,0,39.0,Adult,31.275,Very High,Lower,1,5,0,False,False,True,7
Miss,1,14.0,Teen,7.8542,Low,Lower,0,0,0,False,False,True,1
Mrs,1,55.0,Adult,16.0,High,Middle,0,0,1,False,False,True,1
Master,0,2.0,Child,29.125,High,Lower,4,1,0,False,True,False,6
Mr,0,28.0,YoungAdult,13.0,Mid,Middle,0,0,1,False,False,True,1
Mrs,1,31.0,YoungAdult,18.0,High,Lower,1,0,0,False,False,True,2
Mrs,1,28.0,YoungAdult,7.225,Low,Lower,0,0,1,True,False,False,1
Mr,0,35.0,YoungAdult,26.0,High,Middle,0,0,0,False,False,True,1
Mr,0,34.0,YoungAdult,13.0,Mid,Middle,0,0,1,False,False,True,1
Miss,1,15.0,Teen,8.0292,Mid,Lower,0,0,1,False,True,False,1
Mr,0,28.0,YoungAdult,35.5,Very High,Upper,0,0,1,False,False,True,1
Miss,1,8.0,Child,21.075,High,Lower,3,1,0,False,False,True,5
Mrs,1,38.0,Adult,31.3875,Very High,Lower,1,5,1,False,False,True,7
Mr,0,28.0,YoungAdult,7.225,Low,Lower,0,0,0,True,False,False,1
Mr,0,19.0,YoungAdult,263.0,Very High,Upper,3,2,0,False,False,True,6
Miss,1,28.0,YoungAdult,7.8792,Low,Lower,0,0,1,False,True,False,1
Mr,0,28.0,YoungAdult,7.8958,Low,Lower,0,0,0,False,False,True,1
Rare,0,40.0,Adult,27.7208,High,Upper,0,0,0,True,False,False,1
Mrs,1,28.0,YoungAdult,146.5208,Very High,Upper,1,0,1,True,False,False,2
Miss,1,28.0,YoungAdult,7.75,Low,Lower,0,0,1,False,True,False,1
Mr,0,66.0,Senior,10.5,Mid,Middle,0,0,0,False,False,True,1
Mr,0,28.0,YoungAdult,82.1708,Very High,Upper,1,0,0,True,False,False,2
Mr,0,42.0,Adult,52.0,Very High,Upper,1,0,0,False,False,True,2
Mr,0,28.0,YoungAdult,7.2292,Low,Lower,0,0,1,True,False,False,1
Mr,0,21.0,YoungAdult,8.05,Mid,Lower,0,0,0,False,False,True,1
Miss,1,18.0,Teen,18.0,High,Lower,2,0,0,False,False,True,3
Miss,1,14.0,Teen,11.2417,Mid,Lower,1,0,1,True,False,False,2
Mrs,1,40.0,Adult,9.475,Mid,Lower,1,0,0,False,False,True,2
Mrs,1,27.0,YoungAdult,21.0,High,Middle,1,0,0,False,False,True,2
Mr,0,28.0,YoungAdult,7.8958,Low,Lower,0,0,0,True,False,False,1
Miss,1,3.0,Child,41.5792,Very High,Middle,1,2,1,True,False,False,4
Miss,1,19.0,YoungAdult,7.8792,Low,Lower,0,0,1,False,True,False,1
